Order,Family,Species,Seeds,Invertebrate,Fungi,Vertebrate,Flowers.Gum,Roots.Tubers,Green.Plants,Fruit,Main_food,Body_mass_g
RODENTIA,Abrocomidae,Abrocoma boliviensis,0,0,0,0,0,0,100,0,Herbivore,158
RODENTIA,Abrocomidae,Abrocoma cinerea,0,0,0,0,0,0,100,0,Herbivore,250
RODENTIA,Abrocomidae,Abrocoma bennettii,0,0,0,0,0,0,100,0,Herbivore,250.5
DIPROTODONTIA,Acrobatidae,Acrobates pygmaeus,0,80,0,0,10,0,10,0,Insectivore,12
DIPROTODONTIA,Acrobatidae,Distoechurus pennatus,0,40,0,0,20,0,0,40,Generalist,44.1
CARNIVORA,Ailuridae,Ailurus fulgens,10,10,0,10,0,0,60,10,Herbivore,4900
RODENTIA,Anomaluridae,Anomalurus beecrofti,0,10,0,0,10,0,40,40,Generalist,389
RODENTIA,Anomaluridae,Anomalurus derbianus,0,10,0,0,10,0,40,40,Generalist,649.99
RODENTIA,Anomaluridae,Anomalurus pelii,0,10,0,0,10,0,40,40,Generalist,1769.99
RODENTIA,Anomaluridae,Anomalurus pusillus,0,10,0,0,10,0,40,40,Generalist,250
RODENTIA,Anomaluridae,Idiurus macrotis,0,0,0,0,0,0,0,100,Frugivore,30
RODENTIA,Anomaluridae,Idiurus zenkeri,0,0,0,0,0,0,0,100,Frugivore,100
RODENTIA,Anomaluridae,Zenkerella insignis,0,0,0,100,0,0,0,0,Carnivore,200
ARTIODACTYLA,Antilocapridae,Antilocapra americana,0,0,0,0,0,0,100,0,Herbivore,46082.92
PRIMATES,Aotidae,Aotus vociferans,20,20,0,10,10,0,20,20,Generalist,872.99
PRIMATES,Aotidae,Aotus lemurinus,20,20,0,10,10,0,20,20,Generalist,872.99
PRIMATES,Aotidae,Aotus nancymaae,20,20,0,10,10,0,20,20,Generalist,788.01
PRIMATES,Aotidae,Aotus trivirgatus,20,20,0,10,10,0,20,20,Generalist,899.99
PRIMATES,Aotidae,Aotus hershkovitzi,20,20,0,10,10,0,20,20,Generalist,800
PRIMATES,Aotidae,Aotus nigriceps,20,20,0,10,10,0,20,20,Generalist,1060.01
PRIMATES,Aotidae,Aotus miconax,20,20,0,10,10,0,20,20,Generalist,800
PRIMATES,Aotidae,Aotus azarae,20,20,0,10,10,0,20,20,Generalist,929.57
RODENTIA,Aplodontiidae,Aplodontia rufa,0,0,0,0,0,0,100,0,Herbivore,1003.99
PRIMATES,Atelidae,Alouatta pigra,0,0,0,0,0,0,60,40,Herbivore,7000.03
PRIMATES,Atelidae,Ateles belzebuth,10,10,0,10,0,0,10,60,Frugivore,5000
PRIMATES,Atelidae,Brachyteles arachnoides,20,0,0,0,10,0,50,20,Generalist,13499.88
PRIMATES,Atelidae,Lagothrix lagotricha,10,10,0,0,0,0,10,70,Frugivore,6299.99
PRIMATES,Atelidae,Lagothrix lugens,0,0,0,0,10,0,20,70,Frugivore,6
PRIMATES,Atelidae,Alouatta seniculus,0,0,0,0,0,0,60,40,Herbivore,6145.54
PRIMATES,Atelidae,Alouatta belzebul,0,0,0,0,0,0,60,40,Herbivore,6400
PRIMATES,Atelidae,Alouatta caraya,0,0,0,0,0,0,60,40,Herbivore,5862.46
PRIMATES,Atelidae,Alouatta palliata,0,0,0,0,0,0,60,40,Herbivore,7274.95
PRIMATES,Atelidae,Alouatta sara,0,0,0,0,0,0,60,40,Herbivore,6611.04
PRIMATES,Atelidae,Ateles paniscus,10,10,0,10,0,0,10,60,Frugivore,7900.05
PRIMATES,Atelidae,Ateles geoffroyi,10,10,0,10,0,0,10,60,Frugivore,5284.94
PRIMATES,Atelidae,Ateles fusciceps,10,10,0,10,0,0,10,60,Frugivore,9100
PRIMATES,Atelidae,Ateles marginatus,10,10,0,10,0,0,10,60,Frugivore,5999.98
PRIMATES,Atelidae,Ateles chamek,10,10,0,10,0,0,10,60,Frugivore,5999.98
RODENTIA,Bathyergidae,Bathyergus janetta,0,0,0,0,0,0,100,0,Herbivore,332
